,state_number,consecutive_number,vehicle_number,drivers_vision_obscured_by,drivers_vision_obscured_by_name
131,12,122470,5,0,No Obstruction Noted
132,12,122008,5,0,No Obstruction Noted
133,12,122187,5,0,No Obstruction Noted
134,12,122175,5,0,No Obstruction Noted
135,12,122612,5,0,No Obstruction Noted
136,13,130538,5,0,No Obstruction Noted
137,13,130480,5,0,No Obstruction Noted
138,13,130480,6,0,No Obstruction Noted
139,13,130480,7,0,No Obstruction Noted
140,13,130251,5,0,No Obstruction Noted
141,13,130251,6,0,No Obstruction Noted
142,13,130385,7,0,No Obstruction Noted
143,13,130385,5,0,No Obstruction Noted
144,13,130385,6,0,No Obstruction Noted
145,13,130979,5,0,No Obstruction Noted
146,13,130729,5,0,No Obstruction Noted
147,13,130199,5,0,No Obstruction Noted
148,13,131183,6,0,No Obstruction Noted
149,13,131183,5,0,No Obstruction Noted
150,17,170952,6,0,No Obstruction Noted
151,17,170920,6,0,No Obstruction Noted
152,17,170920,7,0,No Obstruction Noted
153,17,170920,8,0,No Obstruction Noted
154,17,170920,9,0,No Obstruction Noted
155,17,170920,12,0,No Obstruction Noted
156,17,170226,5,0,No Obstruction Noted
157,17,170204,5,0,No Obstruction Noted
158,17,170420,5,0,No Obstruction Noted
159,18,180053,5,0,No Obstruction Noted
160,18,180053,6,0,No Obstruction Noted
161,18,180125,5,0,No Obstruction Noted
162,18,180125,6,0,No Obstruction Noted
163,18,180125,7,0,No Obstruction Noted
164,18,180125,8,0,No Obstruction Noted
165,18,180125,9,0,No Obstruction Noted
166,18,180748,5,0,No Obstruction Noted
167,18,180725,6,0,No Obstruction Noted
168,18,180725,5,0,No Obstruction Noted
169,18,180725,7,0,No Obstruction Noted
170,18,180725,8,0,No Obstruction Noted
171,18,180725,9,0,No Obstruction Noted
172,18,180725,10,0,No Obstruction Noted
173,18,180725,11,0,No Obstruction Noted
174,18,180725,12,0,No Obstruction Noted
175,18,180725,13,0,No Obstruction Noted
176,18,180725,14,0,No Obstruction Noted
177,18,180458,5,0,No Obstruction Noted
178,18,180458,6,0,No Obstruction Noted
179,18,180458,7,0,No Obstruction Noted
180,20,200060,5,0,No Obstruction Noted
181,21,210070,5,0,No Obstruction Noted
182,21,210302,5,0,No Obstruction Noted
183,21,210302,6,0,No Obstruction Noted
184,21,210302,7,0,No Obstruction Noted
185,21,210210,5,0,No Obstruction Noted
186,21,210210,6,0,No Obstruction Noted
187,21,210210,7,0,No Obstruction Noted
188,21,210199,5,0,No Obstruction Noted
189,22,220440,5,0,No Obstruction Noted
190,24,240129,5,0,No Obstruction Noted
191,24,240475,5,0,No Obstruction Noted
192,24,240232,5,0,No Obstruction Noted
193,26,260662,5,0,No Obstruction Noted
194,26,260682,5,0,No Obstruction Noted
195,26,260682,6,0,No Obstruction Noted
196,26,260463,7,0,No Obstruction Noted
197,26,260461,5,0,No Obstruction Noted
198,26,260463,5,0,No Obstruction Noted
199,26,260463,6,0,No Obstruction Noted
200,26,260463,8,0,No Obstruction Noted
201,26,260561,7,0,No Obstruction Noted
202,26,260561,6,0,No Obstruction Noted
203,26,260561,5,0,No Obstruction Noted
204,26,260894,5,0,No Obstruction Noted
205,26,260894,6,0,No Obstruction Noted
206,26,260894,7,0,No Obstruction Noted
207,26,260911,24,0,No Obstruction Noted
208,26,260911,51,0,No Obstruction Noted
209,26,260911,52,0,No Obstruction Noted
210,26,260360,5,0,No Obstruction Noted
211,27,270035,7,0,No Obstruction Noted
212,27,270035,8,0,No Obstruction Noted
213,27,270035,6,0,No Obstruction Noted
214,27,270035,5,0,No Obstruction Noted
215,28,280211,5,0,No Obstruction Noted
216,29,290805,5,0,No Obstruction Noted
217,29,290805,6,0,No Obstruction Noted
218,29,290498,5,0,No Obstruction Noted
219,29,290643,5,0,No Obstruction Noted
220,29,290643,6,0,No Obstruction Noted
221,29,290643,7,0,No Obstruction Noted
222,29,290420,5,0,No Obstruction Noted
223,29,290420,6,0,No Obstruction Noted
224,29,290129,5,0,No Obstruction Noted
225,29,290152,7,0,No Obstruction Noted
226,29,290152,5,0,No Obstruction Noted
227,29,290152,6,0,No Obstruction Noted
228,29,290152,8,0,No Obstruction Noted
229,29,290152,9,0,No Obstruction Noted
230,32,320119,5,0,No Obstruction Noted
231,32,320119,6,0,No Obstruction Noted
232,32,320119,7,0,No Obstruction Noted
233,32,320119,8,0,No Obstruction Noted
234,32,320119,9,0,No Obstruction Noted
235,32,320100,5,0,No Obstruction Noted
236,32,320108,5,0,No Obstruction Noted
237,32,320226,5,0,No Obstruction Noted
238,34,340244,18,0,No Obstruction Noted
239,34,340244,19,0,No Obstruction Noted
240,34,340244,17,0,No Obstruction Noted
241,34,340244,6,0,No Obstruction Noted
242,34,340244,5,0,No Obstruction Noted
243,34,340244,7,0,No Obstruction Noted
244,34,340244,8,0,No Obstruction Noted
245,34,340244,9,0,No Obstruction Noted
246,34,340244,10,0,No Obstruction Noted
247,34,340244,11,0,No Obstruction Noted
248,34,340244,12,0,No Obstruction Noted
249,34,340244,13,0,No Obstruction Noted
250,34,340244,14,0,No Obstruction Noted
251,34,340244,15,0,No Obstruction Noted
252,34,340244,16,0,No Obstruction Noted
253,34,340189,5,0,No Obstruction Noted
254,34,340174,5,0,No Obstruction Noted
255,34,340174,6,0,No Obstruction Noted
256,34,340025,5,0,No Obstruction Noted
257,35,350271,5,0,No Obstruction Noted
258,35,350272,5,0,No Obstruction Noted
259,35,350031,5,0,No Obstruction Noted
